2,3,1,0,0,5,1,2,4,1,6,8,1,1,1,0,6,2,2,180,0
3,4,0,0,1,10,4,0,4,1,16,11,1,1,0,0,16,2,0,36,0
2,2,1,0,0,5,2,1,4,1,1,12,1,1,1,1,1,2,1,10000,1
4,1,1,0,0,4,3,3,4,1,6,9,1,1,0,0,6,2,4,180,0
4,1,1,0,0,5,1,0,4,2,1,14,1,1,0,0,1,2,0,360,0
3,2,1,0,0,5,1,1,1,1,2,12,1,1,0,0,2,1,1,180,0
3,2,1,0,0,4,0,1,4,1,1,14,1,1,1,1,1,2,1,360,0
2,1,0,1,0,6,2,5,4,1,14,12,1,1,1,1,14,2,17,36,0
3,3,1,0,0,5,1,0,4,2,3,10,2,1,0,0,3,2,0,360,0
3,3,1,0,0,5,1,0,4,1,7,10,1,1,0,0,7,2,0,240,0
3,2,1,0,0,4,0,1,1,1,3,7,1,1,0,0,3,2,1,108,0
2,2,1,0,0,5,1,3,4,1,6,12,1,1,1,1,6,1,4,108,0
2,2,1,0,0,5,1,0,4,1,7,11,1,1,1,0,7,1,0,144,0
3,3,1,0,0,4,1,1,1,2,1,9,1,1,0,0,1,2,1,156,0
2,1,1,0,0,1,0,0,4,1,1,8,1,1,1,1,1,2,0,360,0
3,2,0,0,1,6,2,1,4,1,16,12,1,1,0,0,16,2,1,120,0
3,2,1,0,0,4,1,1,1,1,6,1,1,1,0,0,6,1,1,240,0
3,3,0,1,0,10,0,1,4,1,9,1,1,1,0,0,9,2,1,48,0
2,3,1,0,0,1,2,0,4,1,6,14,1,1,1,1,6,1,0,300,0
3,2,1,0,0,1,0,0,4,1,1,12,1,1,0,0,1,1,0,420,0
2,2,0,0,0,10,2,0,4,2,20,10,1,1,0,0,21,1,0,48,0
3,2,1,0,0,5,2,2,4,1,6,12,1,1,1,0,6,2,2,84,0
3,2,1,0,0,4,1,2,4,1,7,11,1,1,1,0,7,2,2,60,0
2,2,1,0,0,5,3,1,4,2,7,11,1,1,0,0,7,1,1,96,0
2,2,0,0,1,7,1,1,4,2,17,12,1,1,0,0,17,1,1,84,0
4,1,1,0,0,1,0,0,4,2,7,18,1,1,0,0,7,1,0,48,0
3,2,0,0,1,6,2,3,4,1,17,9,1,1,1,1,17,1,3,36,0
3,2,1,0,0,1,1,0,4,1,3,10,1,1,1,1,3,1,0,240,0
2,2,0,0,1,10,2,3,4,2,16,9,1,1,0,0,16,2,4,72,0
3,2,0,1,0,8,2,1,4,1,10,7,1,1,1,0,10,1,1,36,0
3,2,0,0,0,10,1,3,4,1,24,12,1,1,1,0,21,1,3,72,0
3,3,0,0,1,2,0,0,4,1,18,7,1,1,1,0,18,1,0,12,0
3,2,0,1,0,10,1,0,4,1,9,9,1,1,1,0,9,1,0,36,0
2,2,0,0,1,6,1,3,1,1,16,10,1,1,1,1,16,1,4,36,0
3,2,1,0,0,4,1,3,4,1,7,11,1,1,1,1,7,2,5,60,0
2,2,0,0,1,10,2,1,4,1,17,14,1,1,1,0,17,2,1,60,0
3,2,0,0,1,7,3,3,4,1,16,5,1,1,1,0,16,2,4,72,0
3,2,1,0,0,1,1,0,4,1,2,11,1,1,0,0,2,1,0,264,0
2,2,0,0,1,2,0,0,4,2,16,11,1,1,0,0,16,1,0,120,0
2,2,1,0,0,5,1,0,4,2,2,12,1,1,0,0,2,2,0,420,0
3,3,1,0,0,1,0,0,4,2,1,10,2,1,0,0,1,2,0,10000,1
2,3,0,1,0,10,0,0,2,1,14,12,1,1,1,1,14,1,0,120,0
4,2,0,0,1,10,2,0,2,1,17,12,1,1,1,1,17,1,0,60,0
2,3,1,0,0,5,1,2,2,1,6,8,2,1,1,1,6,2,2,360,0
3,2,0,0,1,5,2,1,4,1,17,10,1,1,1,0,17,1,1,36,0
4,2,0,0,1,2,0,0,4,2,16,12,1,1,0,0,16,1,0,108,0
2,2,0,1,0,10,3,0,2,1,10,12,1,1,1,1,10,1,0,48,0
3,2,1,0,0,1,1,0,4,1,2,5,1,1,1,1,2,1,0,144,0
2,3,1,0,0,5,1,0,4,2,2,9,2,1,0,0,2,2,0,1020,0
2,2,1,0,0,5,2,2,4,1,5,10,1,1,1,1,5,2,2,84,0
2,2,1,0,0,1,1,0,4,1,6,9,1,1,1,1,6,1,0,72,0
4,2,1,0,0,4,0,1,1,1,6,8,1,1,0,0,6,2,1,252,0
2,1,0,0,1,6,2,2,4,1,17,12,1,1,1,1,17,1,2,36,0
2,3,0,1,0,5,3,1,4,1,9,11,1,1,1,1,9,2,1,36,0
3,2,1,0,0,5,0,1,1,2,6,12,1,1,0,0,6,2,1,120,0
2,3,1,0,0,5,0,1,4,1,3,10,2,1,1,1,3,1,1,96,0
3,2,1,0,0,1,1,0,4,1,1,12,1,1,1,1,1,1,0,360,0
2,2,0,0,1,10,1,2,4,1,17,6,1,1,1,0,17,2,2,36,0
4,2,1,0,0,1,0,0,4,2,2,11,1,1,0,0,2,1,0,84,0
2,2,1,0,0,5,1,3,4,1,7,1,1,1,0,0,7,2,4,84,0
2,1,0,1,0,6,2,1,2,1,9,4,1,1,1,1,9,2,1,60,0
3,3,0,1,0,3,0,0,2,1,10,9,2,1,0,0,10,2,0,48,0
2,3,0,1,0,10,3,1,2,1,14,8,1,1,1,1,14,1,1,60,0
3,2,0,0,1,2,0,0,4,1,17,11,1,1,1,0,17,2,0,96,0
2,2,0,0,1,10,1,3,3,1,17,7,1,1,1,1,17,2,4,48,0
3,2,0,0,1,10,3,3,2,1,16,11,1,1,1,0,16,1,3,48,0
2,3,0,1,0,10,2,1,1,1,9,10,1,1,0,0,9,1,1,84,0
3,2,0,1,0,6,3,3,4,1,9,13,1,1,0,0,9,1,3,54,0
4,2,1,0,0,4,1,0,4,1,6,16,1,1,1,1,6,2,0,84,0
2,2,0,0,1,7,2,0,4,1,17,11,1,1,1,1,17,1,0,45,0
1,2,0,0,1,6,2,3,1,1,17,9,1,1,1,0,17,2,4,48,0
2,2,0,0,1,10,1,3,4,1,17,10,1,1,1,1,17,1,4,72,0
3,2,0,1,0,10,2,0,4,2,9,14,1,1,0,0,9,2,0,36,0
1,2,0,0,1,6,2,1,2,1,16,10,1,1,1,0,16,2,1,45,0
2,2,1,0,0,4,3,3,4,1,6,10,1,1,1,1,6,1,4,96,0
2,2,0,0,0,3,2,0,4,1,19,10,1,1,0,0,19,1,0,48,0
1,1,0,0,0,6,0,2,4,1,24,8,1,1,0,0,21,2,2,60,0
1,2,0,0,1,2,0,0,4,1,16,9,1,1,0,0,16,2,0,60,0
2,2,1,0,0,1,0,0,4,1,2,8,1,1,0,0,2,1,0,360,0
1,3,0,0,1,6,2,1,2,1,16,11,1,1,0,0,16,2,1,36,0
3,1,0,0,0,6,3,4,1,1,24,9,1,1,0,0,21,2,6,36,0
2,2,0,0,1,2,0,0,4,1,17,16,1,1,0,0,17,1,0,60,0
2,2,0,0,1,10,2,0,2,1,18,11,1,1,1,1,18,1,0,120,0
2,2,0,0,1,6,3,2,4,1,17,10,1,1,1,1,17,2,2,43,0
2,2,0,0,0,10,2,0,2,2,19,11,1,1,0,0,19,2,0,84,0
