age_cat,race,offense_violent,offense_property,offense_drug,ch_crimhist,ch_probation_num,ch_incarceration_num,co_statustme,drug_any,co_currentoffense,education,citizenship,gender,drug_abuse_dsmiv,drug_dependence,typeoffense,ses_any_children,ch_numcar,cs_sentencemth,life_sentence
3,1,1,0,0,5,3,0,4,1,7,6,1,1,1,0,7,2,0,84,0
3,2,0,0,1,4,1,0,4,1,17,11,1,1,1,0,17,2,0,96,0
2,3,0,0,1,6,2,0,4,1,17,12,1,1,1,0,17,2,0,108,0
2,3,0,0,1,2,0,0,4,1,16,9,1,1,1,0,16,2,0,24,0
3,3,1,0,0,1,0,0,4,1,5,17,2,1,0,0,5,1,0,144,0
4,2,0,0,1,6,2,4,4,1,17,11,1,1,1,0,17,1,9,60,0
1,3,0,1,0,5,3,1,2,1,10,12,1,1,1,1,10,1,1,36,0
3,3,0,0,1,2,0,0,4,1,16,12,1,1,0,0,16,2,0,33,0
1,2,0,0,1,10,1,0,4,1,17,10,1,1,0,0,17,2,0,24,0
3,1,0,0,1,2,0,0,4,1,16,12,1,1,0,0,16,2,0,18,0
4,3,0,0,1,6,1,0,4,2,17,12,2,1,0,0,17,1,0,12,0
1,2,1,0,0,1,0,0,4,1,6,12,1,1,0,0,6,2,0,84,0
2,2,0,0,0,10,3,1,2,1,20,12,1,1,0,0,21,1,1,31,0
2,2,0,0,0,6,3,1,2,1,20,10,1,1,1,1,21,1,1,12,0
4,3,1,0,0,4,0,3,4,1,6,14,1,1,1,1,6,1,3,48,0
1,2,1,0,0,4,2,1,2,1,8,11,1,1,1,0,8,2,1,24,0
4,2,0,0,0,10,3,2,1,1,19,7,1,1,0,0,19,2,2,60,0
2,1,1,0,0,4,0,2,4,1,7,9,2,1,1,1,7,2,2,48,0
3,2,0,0,0,9,2,2,2,1,20,12,1,1,0,0,21,2,2,18,0
4,1,1,0,0,1,0,0,4,2,1,13,1,1,0,0,1,1,0,180,0
1,3,1,0,0,1,0,0,4,1,7,10,1,1,1,1,7,1,0,60,0
2,3,1,0,0,4,1,1,2,1,8,12,1,1,1,1,8,1,1,396,0
1,3,0,0,0,5,0,3,4,1,24,10,1,1,1,1,21,1,3,24,0
2,3,0,1,0,10,2,1,2,1,11,11,1,1,1,1,11,2,1,30,0
2,2,1,0,0,5,2,0,2,1,1,11,1,1,1,1,1,2,0,344,0
2,1,1,0,0,1,0,0,4,1,1,10,1,1,1,1,1,2,0,540,0
2,2,0,0,1,10,0,0,2,1,16,10,1,1,0,0,16,1,0,108,0
3,2,1,0,0,5,2,0,4,1,1,10,1,1,0,0,1,1,0,600,0
2,2,1,0,0,1,0,0,4,1,1,12,2,1,0,0,1,2,0,600,0
5,2,0,0,1,10,3,4,4,1,16,12,1,1,1,0,16,1,9,36,0
1,1,1,0,0,1,0,0,4,1,6,12,1,1,1,1,6,2,0,60,0
4,3,1,0,0,5,2,3,4,1,1,11,1,1,0,0,1,1,3,540,0
2,3,1,0,0,4,2,0,2,1,3,4,1,1,0,0,3,2,0,396,0
4,1,1,0,0,4,2,1,4,1,1,12,1,1,1,0,1,2,1,12,0
2,2,1,0,0,4,2,0,2,1,7,12,1,1,0,0,7,2,0,480,0
3,1,1,0,0,1,1,0,2,1,7,14,1,1,0,0,7,2,0,78,0
5,6,1,0,0,1,0,0,4,1,5,12,1,1,0,0,5,2,0,12,0
3,2,1,0,0,4,1,0,4,1,2,11,1,1,0,0,2,1,0,336,0
3,1,0,1,0,10,2,0,2,1,13,10,1,2,1,1,13,1,0,42,0
2,2,0,0,1,7,2,0,2,1,16,10,1,2,1,1,16,2,0,36,0
3,3,0,0,0,6,3,0,2,1,24,10,1,2,1,1,21,2,0,9,0
2,2,0,0,1,10,0,0,2,1,17,11,1,2,1,1,17,2,0,30,0
1,1,0,0,0,6,3,3,2,1,20,9,1,2,1,1,21,2,5,30,0
3,3,0,0,1,10,3,0,4,1,16,0,1,2,1,1,16,1,0,60,0
4,2,0,1,0,10,0,5,2,1,10,10,1,2,1,1,10,1,24,24,0
3,1,1,0,0,1,0,0,4,1,1,12,1,2,0,1,1,2,0,120,0
2,1,0,1,0,10,0,0,2,1,15,12,1,2,1,1,15,1,0,4,0
3,1,0,0,0,10,4,1,2,1,24,14,1,2,1,1,21,2,1,15,0
3,1,0,0,0,10,2,1,2,1,24,12,1,2,1,1,21,2,1,12,0
3,6,1,0,0,5,2,5,4,1,6,11,1,2,1,1,6,1,13,120,0
5,2,1,0,0,1,0,0,4,2,2,13,1,2,0,0,2,1,0,360,0
2,1,0,0,0,6,1,3,4,1,23,13,1,2,0,0,21,2,3,1,0
3,3,0,0,1,6,3,3,2,1,16,11,1,2,1,1,16,2,5,12,0
4,1,0,0,1,10,1,0,4,2,16,11,1,2,0,0,16,2,0,141,0
1,2,0,1,0,10,2,1,2,1,10,12,1,2,1,1,10,2,1,12,0
3,1,0,1,0,3,0,0,4,1,10,14,1,2,1,1,10,2,0,1,0
2,3,1,0,0,4,3,2,2,1,8,9,1,2,1,1,8,2,2,18,0
3,1,0,0,0,6,2,0,2,1,24,11,1,2,0,0,21,1,0,20,0
3,3,0,0,0,3,0,0,4,2,25,5,2,2,0,0,21,1,0,5,0
3,1,0,1,0,3,0,0,4,2,10,14,1,2,0,0,10,2,0,48,0
3,1,0,1,0,4,2,1,2,2,10,12,1,2,0,0,10,1,1,24,0
1,3,1,0,0,4,2,0,2,1,7,11,1,2,1,0,7,2,0,12,0
3,2,0,0,1,6,3,3,2,1,17,12,1,2,1,1,17,2,4,72,0
3,3,1,0,0,4,2,0,2,1,7,9,1,2,1,1,7,2,0,36,0
2,3,0,0,1,2,0,0,4,1,17,12,1,2,0,0,17,2,0,12,0
2,2,0,0,0,3,0,0,2,1,23,12,1,2,0,1,21,2,0,6,0
4,3,0,0,1,2,0,0,4,1,16,12,1,2,1,1,16,2,0,15,0
2,1,1,0,0,1,0,0,2,1,8,9,1,2,1,1,8,2,0,36,0
1,1,0,0,1,2,0,0,4,1,16,13,1,2,1,1,16,2,0,18,0
1,2,0,0,1,2,0,0,4,2,17,10,1,2,0,0,17,2,0,60,0
3,1,1,0,0,4,3,0,4,1,6,8,1,2,1,1,6,1,0,276,0
1,2,0,1,0,6,2,0,4,1,9,8,1,2,1,1,9,1,0,60,0
2,2,0,0,1,10,0,0,2,1,17,11,1,2,1,0,17,2,0,60,0
3,1,0,0,0,10,3,5,2,1,23,12,1,2,1,1,21,1,20,24,0
2,3,0,0,1,2,0,0,4,1,17,12,1,2,1,1,17,1,0,60,0
3,1,0,0,1,10,0,1,4,1,18,14,1,2,1,1,18,1,1,6,0
1,1,1,0,0,1,0,0,4,2,7,10,1,2,0,0,7,2,0,1,0
3,1,0,0,0,4,3,1,2,1,24,16,1,2,1,0,21,2,1,9,0
3,1,0,0,0,10,3,1,4,1,22,10,1,2,1,0,20,2,1,5,0
3,2,1,0,0,4,1,0,4,1,7,12,1,2,0,0,7,1,0,30,0
3,3,0,1,0,10,1,0,4,1,10,9,1,2,1,1,10,1,0,5,0
2,3,0,0,1,6,4,0,2,1,18,8,1,2,1,1,18,1,0,14,0
2,1,1,0,0,5,1,3,4,1,1,9,1,2,1,1,1,2,3,10000,1
