3	2	0	0	1	2	0	0	2	1	16	11	1	1	0	1	16	2	0	36
4	2	1	0	0	4	3	3	4	2	4	14	1	1	0	0	4	2	4	300
4	1	1	0	0	1	0	0	4	2	7	12	1	2	0	0	7	2	0	600
2	2	1	0	0	5	2	1	2	1	6	12	1	1	0	0	6	1	1	240
4	1	1	0	0	4	0	1	1	1	6	12	1	1	0	0	6	1	1	240
2	1	0	0	0	6	3	0	2	1	24	10	1	1	0	0	21	2	0	96
2	3	0	0	0	10	1	0	4	2	22	12	1	2	0	0	20	1	0	72
1	3	0	0	0	6	3	1	2	1	24	8	1	1	1	0	21	2	1	84
4	1	1	0	0	1	0	0	4	1	7	12	1	1	1	0	7	2	0	84
3	6	0	0	1	2	0	0	4	1	17	12	1	2	1	0	17	1	0	42
3	2	1	0	0	5	3	5	4	1	7	8	1	1	1	0	7	2	12	240
1	2	0	0	1	2	0	0	4	1	17	7	1	1	1	0	17	1	0	120
2	1	0	1	0	5	2	3	2	1	9	9	1	1	1	1	9	2	4	840
2	6	1	0	0	5	2	4	4	1	5	9	1	1	1	1	5	2	9	180
3	1	1	0	0	1	0	0	4	2	4	14	1	1	0	0	4	2	0	600
2	6	1	0	0	5	3	0	4	1	5	10	1	1	0	0	5	2	0	180
3	3	1	0	0	5	1	3	1	1	6	9	1	1	1	1	6	1	5	240
3	1	0	1	0	1	0	0	4	1	9	12	1	1	1	0	9	2	0	216
3	3	0	0	1	10	1	1	4	1	16	11	1	1	1	1	16	1	1	33
2	2	1	0	0	1	0	0	4	2	5	9	1	1	0	0	5	2	0	480
4	2	0	0	1	10	1	2	1	1	17	13	1	2	1	0	17	2	2	120
5	3	1	0	0	5	1	2	4	1	1	8	2	1	1	1	1	2	2	432
2	3	0	1	0	10	1	0	4	1	13	14	1	2	1	1	13	2	0	36
2	3	0	0	0	4	2	1	2	2	24	9	1	1	0	0	21	2	1	240
3	2	0	0	1	6	0	0	2	1	17	10	1	2	0	0	17	1	0	60
3	2	1	0	0	5	2	2	1	1	6	12	1	1	1	1	6	2	2	60
2	1	0	1	0	10	0	3	2	1	9	10	1	1	1	1	9	2	4	60
2	3	0	1	0	3	0	0	2	1	13	8	1	2	1	1	13	2	0	6
3	2	1	0	0	5	2	1	1	1	4	10	1	1	0	0	4	2	1	168
2	2	0	1	0	6	2	3	4	1	10	10	1	1	1	1	10	2	4	12
3	2	1	0	0	5	2	0	2	1	6	11	1	1	0	0	6	1	0	120
2	3	1	0	0	5	2	1	2	1	1	10	1	1	1	0	1	2	1	480
4	6	1	0	0	4	1	0	4	1	5	14	1	1	0	0	5	2	0	240
4	1	0	0	1	2	0	0	4	1	16	18	1	1	0	0	16	2	0	48
4	2	0	1	0	10	1	0	4	1	13	13	1	1	0	0	13	1	0	6
3	2	0	1	0	6	1	1	4	1	11	13	1	1	1	0	11	1	1	96
4	6	1	0	0	5	1	3	4	1	6	11	1	1	0	0	6	2	4	300
5	1	1	0	0	1	0	0	4	1	5	13	1	1	1	0	5	1	0	180
1	1	0	0	1	10	1	0	1	1	17	9	1	1	1	1	17	2	0	120
4	1	0	0	1	2	0	0	4	1	17	12	1	2	1	1	17	1	0	12
2	1	0	0	1	2	0	0	4	1	16	12	1	2	1	1	16	1	0	36
4	6	1	0	0	5	1	1	2	1	1	14	1	2	0	0	1	1	1	480
2	2	1	0	0	4	1	1	4	2	4	13	1	1	0	0	4	1	1	360
5	5	1	0	0	1	0	0	4	2	1	12	2	1	0	0	1	1	0	600
2	1	0	0	1	2	0	0	4	2	17	16	1	1	0	0	17	2	0	24
2	2	0	1	0	6	1	5	4	2	10	12	1	1	0	0	10	2	11	84
